"candidate_id"|"content"
"63833"|"<p>Availability/Notice period: 60 Days</p><p>Technical experience: 8+ in IT | 3+ in GCP</p><p>Industries/Sectors worked in: E-commerce, Retail, Healthcare, Telecom, Insurance</p><p>Certificates: No</p><p>Timezone working in:&nbsp; IST</p><p>Open to remote/onsite:&nbsp; Remote</p><p>Location: India</p><p>Fee: 27 Lakhs now...expecting 40 Lakhs</p><p>Limited company:</p><p><br />Availability to interview: Next week 2-pm IST</p><p>Notes: Price too high. Looking only permanent. Not open to Contracting.</p>"
"63834"|"<p>Availability/Notice period: 60 Days (Negotiable)</p><p>Technical experience: 8+ in IT | 3+ in GCP</p><p>Industries/Sectors worked in:&nbsp;</p><p>Certificates: NO</p><p>Timezone working in: IST</p><p>Open to remote/onsite: Remote</p><p>Location: India</p><p>Fee: Getting 23 Euros per hour. 31 Lakhs now...Expecting 40 Lakhs</p><p>Limited company: No</p><p><br />Availability to interview:&nbsp; Immediate</p><p>Notes: He is on a notice and looks strong enough for a lead role.</p>"
"63855"|"<p>Availability/Notice period: 2 months&nbsp;</p><p>Technical experience: 10 years in SF | 3 years SFMC Architect</p><p>Industries/Sectors worked in: Finance sector&nbsp;</p><p>Certificates: 10x certified&nbsp;</p><p>Time zone working in: IST&nbsp;</p><p>Open to remote/onsite:&nbsp;</p><p>Location: India</p><p>Fee: 40 EUR&nbsp;</p><p>Limited company: No</p><p><br />Availability to interview: Immediate&nbsp;</p><p>Notes: 3 project leading as a SFMC Architect</p><p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Contract submission for Tech Mahindra&nbsp;</p>"
"63849"|"<p>Availability/Notice period: 4th May LWD</p><p>Technical experience: 7 years experience&nbsp;</p><p>Industries/Sectors worked in: Multiple sectors&nbsp;</p><p>Certificates:&nbsp;</p><p>Time zone working in: IST</p><p>Open to remote/onsite: Remote only&nbsp;</p><p>Location: India</p><p>Fee: 17 Lakh per annum&nbsp;</p><p>Limited company: NF</p><p>Availability to interview: Immediate</p><p>Notes: Will not consider contract for SFCC QA lead for Publicis only Perm. Cannot send.&nbsp;</p>"
"63852"|"<p>Availability/Notice period: 60 days LWD is 10th June&nbsp;</p><p>Technical experience: 15 in IT | 10 years Tester | 4 SF Testing | 1 year SFCC QA</p><p>Industries/Sectors worked in: Retail</p><p>Certificates:&nbsp;</p><p>Time zone working in: IST</p><p>Open to remote/onsite: Hybrid&nbsp;</p><p>Location: India</p><p>Fee: 24 LAKHS&nbsp;</p><p>Limited company: Rastech</p><p>Availability to interview: Immediate&nbsp;</p><p>Notes: No marketing cloud / no&nbsp; telecom</p>"
"63836"|"<p>Availability/Notice period: 60 Days</p><p>Technical experience: 3 yrs in IT | 1+ in GCP</p><p>Industries/Sectors worked in: Telcom, Finance</p><p>Certificates: GCP, AWS, Azure</p><p>Timezone working in: IST</p><p>Open to remote/onsite: Remote</p><p>Location: India</p><p>Fee: 10 Euros</p><p>Limited company: No</p><p><br />Availability to interview: Immediate</p><p>Notes: Though not enough exp he has 4 Cloud Certifications. He is also looking for on-site oppurtunities.</p>"
"63853"|"<p>Availability/Notice period: 2 months (started one week)</p><p>Technical experience: 11 years | SF Testing 7 SFCC QA</p><p>Industries/Sectors worked in: Retail&nbsp;</p><p>Certificates: No</p><p>Time zone working in: CET ok (working at present 9am - 7pm IST)</p><p>Open to remote/onsite: Remote&nbsp;</p><p>Location: India</p><p>Fee: 15 EUR per hour</p><p>Limited company: No</p><p><br />Availability to interview:&nbsp;</p><p>Notes: Supported Pandora UK / Open to contract</p>"
"63845"|"<p style=""box-sizing: content-box; margin: 0px 0px 4px; font-family: 'Open Sans', 'Helvetica Neue', Helvetica, Arial, sans-serif; color: #333333; font-size: 13px; background-color: rgba(238, 238, 238, 0.8);"">Availability/Notice period: 2 weeks</p><p style=""box-sizing: content-box; margin: 0px 0px 4px; font-family: 'Open Sans', 'Helvetica Neue', Helvetica, Arial, sans-serif; color: #333333; font-size: 13px; background-color: rgba(238, 238, 238, 0.8);"">Technical experience: 8 years | 5 years in Data engineering | 2 years in GCP</p><p style=""box-sizing: content-box; margin: 0px 0px 4px; font-family: 'Open Sans', 'Helvetica Neue', Helvetica, Arial, sans-serif; color: #333333; font-size: 13px; background-color: rgba(238, 238, 238, 0.8);"">Industries/Sectors worked in: Aerospace, Banking, Healthcare</p><p style=""box-sizing: content-box; margin: 0px 0px 4px; font-family: 'Open Sans', 'Helvetica Neue', Helvetica, Arial, sans-serif; color: #333333; font-size: 13px; background-color: rgba(238, 238, 238, 0.8);"">Certificates: No</p><p style=""box-sizing: content-box; margin: 0px 0px 4px; font-family: 'Open Sans', 'Helvetica Neue', Helvetica, Arial, sans-serif; color: #333333; font-size: 13px; background-color: rgba(238, 238, 238, 0.8);"">Time zone working in: Yes</p><p style=""box-sizing: content-box; margin: 0px 0px 4px; font-family: 'Open Sans', 'Helvetica Neue', Helvetica, Arial, sans-serif; color: #333333; font-size: 13px; background-color: rgba(238, 238, 238, 0.8);"">Open to remote/onsite: Yes</p><p style=""box-sizing: content-box; margin: 0px 0px 4px; font-family: 'Open Sans', 'Helvetica Neue', Helvetica, Arial, sans-serif; color: #333333; font-size: 13px; background-color: rgba(238, 238, 238, 0.8);"">Location: India</p><p style=""box-sizing: content-box; margin: 0px 0px 4px; font-family: 'Open Sans', 'Helvetica Neue', Helvetica, Arial, sans-serif; color: #333333; font-size: 13px; background-color: rgba(238, 238, 238, 0.8);"">Fee: 120 per day</p><p style=""box-sizing: content-box; margin: 0px 0px 4px; font-family: 'Open Sans', 'Helvetica Neue', Helvetica, Arial, sans-serif; color: #333333; font-size: 13px; background-color: rgba(238, 238, 238, 0.8);"">Limited company: NF</p><p style=""box-sizing: content-box; margin: 0px 0px 4px; font-family: 'Open Sans', 'Helvetica Neue', Helvetica, Arial, sans-serif; color: #333333; font-size: 13px; background-color: rgba(238, 238, 238, 0.8);""><br style=""box-sizing: content-box;"" />Availability to interview: 4pm onwards&nbsp;</p><p style=""box-sizing: content-box; margin: 0px 0px 4px; font-family: 'Open Sans', 'Helvetica Neue', Helvetica, Arial, sans-serif; color: #333333; font-size: 13px; background-color: rgba(238, 238, 238, 0.8);"">Notes: Hands on in GCP (Very strong in other aspects)</p>"
"63495"|"<p>Availability/Notice period: 1 week</p><p>Technical experience: 13 years in IT | 9 in QA | 5 in SFCC QA | 3 SFCC QA Lead</p><p>Industries/Sectors worked in: Banking + Insurance&nbsp;</p><p>Certificates: No</p><p>Time zone working in: IST (happy to work in CET)&nbsp;</p><p>Open to remote/onsite:&nbsp; Remote</p><p>Location: India</p><p>Fee: 17.00 EUR per hour&nbsp;</p><p>Limited company: Eshia&nbsp;</p><p>Availability to interview: Immediate</p><p>Notes: Has an offer on the table. Open to contract and using our payroll partner. Ideally looking for 6 months contract minimum. Sent to Publicis for SFCC QA Lead role.&nbsp;</p>"
"64009"|"<p>Availability/Notice period:90 days &nbsp;&nbsp;</p><p>Technical experience: 12 years IT, testing background, 9years scrum and agile &nbsp;</p><p>Industries/Sectors worked in: retail &nbsp;</p><p>Certificates: none &nbsp;</p><p>Timezone working in: 10am - 10pm&nbsp;</p><p>Open to remote/onsite: remote&nbsp;</p><p>Location: India&nbsp;</p><p>Visa status (if applicable):</p><p>Fee: currently getting 18 lakhs / wants 22 euros per hour &nbsp;&nbsp;</p><p>Limited company: umbrella &nbsp;</p><p>Interview availability: 9am-1pm cet monday - friday&nbsp;</p><p>Notes:</p>"
